timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1588177919598,781,LEED Online  ,200,OK,Thread Group  1-1,text,true,,759470,6597,1,1,267,0,196
1588177920381,593,LEED Online login page api,200,OK,Thread Group  1-1,text,true,,626,626,1,1,592,0,0
1588177934584,1560,Projects page  ,200,OK,Thread Group  1-1,text,true,,879741,11625,1,1,616,0,182
1588177919596,2934,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group  1-1,,true,,1639837,18848,1,1,1475,13620,378
1588177949064,797,Registration page,200,OK,Thread Group  1-1,text,true,,144156,9607,1,1,206,0,128
1588177949864,365,Validate Zip code,200,OK,Thread Group  1-1,text,true,,905,570,1,1,365,0,0
1588177950231,95,Get Registration page nonces ,200,OK,Thread Group  1-1,text,true,,577,370,1,1,95,0,0
1588177950328,488,Sdn status validation api,200,OK,Thread Group  1-1,text,true,,455,665,1,1,488,0,203
1588177961235,821,Fill Registration page with all fields,200,OK,Thread Group  1-1,text,false,Test failed: text expected to contain /View a downloadable copy of the Certification Agreement in PDF by clicking /,130222,13752,1,1,390,0,129
1588177962150,880,Agreement Page,200,OK,Thread Group  1-1,text,true,,92222,12756,1,1,62,0,0
1588177963032,69,Project Registration confirmation and get Project Id,200,OK,Thread Group  1-1,text,false,"Test failed: text expected to contain /""message"":""Project registered successfully!""/",700,633,1,1,65,0,0
1588177936149,3515,Create_Project ,,"Number of samples in transaction : 7, number of failing samples : 2",Thread Group  1-1,,false,,369237,38353,1,1,1671,23436,460
1588177983823,0,Payment page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 54: https://leedonline-qas.usgbc.org/payment/pay/project/${project_id},Thread Group  1-1,text,false,Test failed: text expected to contain /Payment type/,1075,0,1,1,0,0,0
1588177983828,226,Payment page - validate zipcode,406,Not Acceptable,Thread Group  1-1,text,false,"Test failed: text expected to contain /""resultHash""/",454,571,1,1,226,0,111
1588177984057,0,Get project registration payment billing info,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 249: https://leedonline-qas.usgbc.org/payment/saveBillToForOrder?country=US&taxExempt=0&address2=+&city=Morrisville&address1=Calle+de+Alcala+48&refresh=N&billEmail=vrs%40gmail.com&isTaxId1Valid=N&isPostalCodeValid=Y&billName=Victor+Smith&postalcodeHash=${payment_page_postal_code_hash}&indiaSez=0&postalcode=12345&currency=USD&state=NC&postalcodeHashFor=US%23NC%2312345&_=1586824093875,Thread Group  1-1,text,false,"Test failed: text expected to contain /""status"":""ok""/",1391,0,1,1,0,0,0
1588177984059,0,Get Payment process Id of the payment,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 54: https://leedonline-qas.usgbc.org/payment/pay/project/${project_id},Thread Group  1-1,text,false,Test failed: text expected to contain /paymentProcessId/,1075,0,1,1,0,0,0
1588177984061,171,Get Payment page nonces,200,OK,Thread Group  1-1,text,true,,577,404,1,1,170,0,0
1588177984233,355,Start payment for project registration,403,Forbidden,Thread Group  1-1,text,false,Test failed: text expected to contain /gatewayUrl/,339,660,1,1,355,0,332
1588177984591,2346,Get the card tokenized ${project_id},200,OK,Thread Group  1-1,text,false,"Test failed: text expected to contain /""status"":""success"",""message"":""Card tokenized successfully""/",735730,7168,1,1,646,0,574
1588177986941,0,Projet registration payment completion and get the order Id,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 54: https://leedonline-qas.usgbc.org/payment/pay/project/${project_id},Thread Group  1-1,text,false,"Test failed: text expected to contain /""status"":""success""/",1075,0,1,1,0,0,0
1588178010111,0,Receipt page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: https://leedonline-qas.usgbc.org/payment/confirm/project/${project_id}/${order_id},Thread Group  1-1,text,false,Test failed: text expected to contain /Receipt/,1091,0,1,1,0,0,0
1588177963103,3098,Make Credit card Payment,,"Number of samples in transaction : 9, number of failing samples : 8",Thread Group  1-1,,false,,742807,8803,1,1,1397,43911,1017
1588178015966,880,Click on logout button,200,OK,Thread Group  1-1,text,true,,52141,8222,1,1,392,0,133
1588178010113,880,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group  1-1,,true,,52141,8222,1,1,392,5857,133
