timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590508937281,676,LEED Online  ,200,OK,Thread Group  1-2,text,true,,758338,6126,2,2,https://leedonline-stg.usgbc.org/,193,0,122
1590508937959,479,LEED Online login page api,200,OK,Thread Group  1-2,text,true,,626,635,2,2,https://leedonline-stg.usgbc.org/user/login,479,0,0
1590508938460,938,Projects page  ,200,OK,Thread Group  1-2,text,true,,880206,11625,2,2,https://leedonline-stg.usgbc.org/projects,202,0,0
1590508939684,624,Cities Link,200,OK,Thread Group  1-2,text,true,,68195,11343,2,2,https://leedonline-stg.usgbc.org/cities,206,0,115
1590508940366,237,Cities Register Page,200,OK,Thread Group  1-2,text,true,,97547,9344,2,2,https://leedonline-stg.usgbc.org/cities/register,50,0,0
1590508940605,81,Validate Zip code,200,OK,Thread Group  1-2,text,true,,905,623,2,2,https://leedonline-stg.usgbc.org/projects/validatezipcode,81,0,0
1590508940688,202,Get Registration page nonces ,200,OK,Thread Group  1-2,text,true,,577,381,2,2,https://leedonline-stg.usgbc.org/leed/getNonce/5,202,0,0
1590508940892,464,Sdn status validation api ,200,OK,Thread Group  1-2,text,true,,455,629,3,3,https://leedonline-api-stg.usgbc.org/v1/json/Validate/sdnStatus,464,0,191
1590508941265,689,LEED Online  ,200,OK,Thread Group  1-3,text,true,,758339,6126,3,3,https://leedonline-stg.usgbc.org/,368,0,127
1590508941957,322,LEED Online login page api,200,OK,Thread Group  1-3,text,true,,626,635,3,3,https://leedonline-stg.usgbc.org/user/login,322,0,0
1590508941359,1058,Fill Registration page with all fields,200,OK,Thread Group  1-2,text,true,,143037,10688,3,3,https://leedonline-stg.usgbc.org/leed/agreement,240,0,0
1590508942289,638,Projects page  ,200,OK,Thread Group  1-3,text,true,,880310,11625,3,3,https://leedonline-stg.usgbc.org/projects,235,0,0
1590508942984,717,Cities Link,200,OK,Thread Group  1-3,text,true,,72251,11862,3,3,https://leedonline-stg.usgbc.org/cities,314,0,0
