timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590512341263,683,LEED Online  ,200,OK,Thread Group  1-1,text,true,,758326,6126,1,1,https://leedonline-stg.usgbc.org/,258,0,186
1590512341948,312,LEED Online login page api,200,OK,Thread Group  1-1,text,true,,626,631,1,1,https://leedonline-stg.usgbc.org/user/login,312,0,0
1590512342284,1057,Projects page  ,200,OK,Thread Group  1-1,text,true,,880397,11625,1,1,https://leedonline-stg.usgbc.org/projects,331,0,0
1590512343400,665,Community Link,200,OK,Thread Group  1-1,text,true,,96641,11872,1,1,https://leedonline-stg.usgbc.org/communities,220,0,123
1590512344139,210,Community Register Page,200,OK,Thread Group  1-1,text,true,,97510,9436,1,1,https://leedonline-stg.usgbc.org/communities/register,53,0,0
1590512344350,88,Validate Zip code,200,OK,Thread Group  1-1,text,true,,905,623,1,1,https://leedonline-stg.usgbc.org/projects/validatezipcode,88,0,0
1590512344439,203,Get Registration page nonces ,200,OK,Thread Group  1-1,text,true,,577,381,1,1,https://leedonline-stg.usgbc.org/leed/getNonce/5,203,0,0
1590512344643,399,Sdn status validation api ,200,OK,Thread Group  1-1,text,true,,456,629,1,1,https://leedonline-api-stg.usgbc.org/v1/json/Validate/sdnStatus,399,0,186
1590512345234,744,LEED Online  ,200,OK,Thread Group  1-2,text,true,,758326,6126,2,2,https://leedonline-stg.usgbc.org/,388,0,124
1590512345127,889,Fill Registration page with all fields,200,OK,Thread Group  1-1,text,true,,142996,10684,2,2,https://leedonline-stg.usgbc.org/leed/agreement,223,0,0
1590512345980,396,LEED Online login page api,200,OK,Thread Group  1-2,text,true,,626,635,2,2,https://leedonline-stg.usgbc.org/user/login,396,0,0
1590512346038,1158,Agreement Page,200,OK,Thread Group  1-1,text,true,,92886,12756,2,2,https://leedonline-stg.usgbc.org/projects,202,0,132
1590512346470,896,Projects page  ,200,OK,Thread Group  1-2,text,true,,880138,11625,2,2,https://leedonline-stg.usgbc.org/projects,512,0,0
1590512347415,532,Community Link,200,OK,Thread Group  1-2,text,true,,68258,11348,2,2,https://leedonline-stg.usgbc.org/communities,212,0,125
1590512347989,239,Community Register Page,200,OK,Thread Group  1-2,text,true,,101746,9354,2,2,https://leedonline-stg.usgbc.org/communities/register,54,0,0
1590512348231,83,Validate Zip code,200,OK,Thread Group  1-2,text,true,,905,623,2,2,https://leedonline-stg.usgbc.org/projects/validatezipcode,83,0,0
1590512348316,200,Get Registration page nonces ,200,OK,Thread Group  1-2,text,true,,577,381,2,2,https://leedonline-stg.usgbc.org/leed/getNonce/5,200,0,0
