timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590779514219,1296,LEED Online  ,200,OK,Thread Group  1-1,text,true,,758208,6126,1,1,https://leedonline-stg.usgbc.org/,435,0,317
1590779515517,377,LEED Online login page api,200,OK,Thread Group  1-1,text,true,,626,635,1,1,https://leedonline-stg.usgbc.org/user/login,335,0,0
1590779515936,1031,Projects page  ,200,OK,Thread Group  1-1,text,true,,875639,11625,1,1,https://leedonline-stg.usgbc.org/projects,173,0,0
1590779517278,807,City Project - Cities Link,200,OK,Thread Group  1-1,text,true,,84060,11862,1,1,https://leedonline-stg.usgbc.org/cities,294,0,203
1590779518107,298,City Project - Register Page,200,OK,Thread Group  1-1,text,true,,95920,9425,2,2,https://leedonline-stg.usgbc.org/cities/register,51,0,0
1590779518407,286,City Project - Validate Zip code,200,OK,Thread Group  1-1,text,true,,905,623,2,2,https://leedonline-stg.usgbc.org/projects/validatezipcode,286,0,0
1590779518695,184,City Project - Get Registration page nonces ,200,OK,Thread Group  1-1,text,true,,577,381,2,2,https://leedonline-stg.usgbc.org/leed/getNonce/5,184,0,0
1590779518225,770,LEED Online  ,200,OK,Thread Group  1-2,text,true,,758200,6126,2,2,https://leedonline-stg.usgbc.org/,238,0,168
1590779518998,333,LEED Online login page api,200,OK,Thread Group  1-2,text,true,,626,635,2,2,https://leedonline-stg.usgbc.org/user/login,310,0,0
1590779518881,459,City Project - Sdn status validation api ,200,OK,Thread Group  1-1,text,true,,456,629,2,2,https://leedonline-api-stg.usgbc.org/v1/json/Validate/sdnStatus,458,0,303
1590779519403,1205,Projects page  ,200,OK,Thread Group  1-2,text,true,,880136,11625,2,2,https://leedonline-stg.usgbc.org/projects,222,0,0
1590779519363,2081,City Project - Fill Registration page with all fields,200,OK,Thread Group  1-1,text,true,,142770,10688,2,2,https://leedonline-stg.usgbc.org/leed/agreement,522,0,160
1590779520704,1439,City Project - Cities Link,200,OK,Thread Group  1-2,text,true,,85803,11862,2,2,https://leedonline-stg.usgbc.org/cities,450,0,190
1590779522160,1026,City Project - Register Page,200,OK,Thread Group  1-2,text,true,,95936,9425,3,3,https://leedonline-stg.usgbc.org/cities/register,280,0,0
1590779523191,425,City Project - Validate Zip code,200,OK,Thread Group  1-2,text,true,,905,623,3,3,https://leedonline-stg.usgbc.org/projects/validatezipcode,425,0,280
1590779523618,171,City Project - Get Registration page nonces ,200,OK,Thread Group  1-2,text,true,,577,381,3,3,https://leedonline-stg.usgbc.org/leed/getNonce/5,171,0,0
1590779522247,1630,LEED Online  ,200,OK,Thread Group  1-3,text,true,,758200,6126,3,3,https://leedonline-stg.usgbc.org/,583,0,238
1590779521521,2400,City Project - Agreement Page,200,OK,Thread Group  1-1,text,true,,88124,12756,3,3,https://leedonline-stg.usgbc.org/projects,479,0,418
