timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519294208006,359,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,162,0,90
1519294208369,260,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,260,0,144
1519294208630,251,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,251,0,132
1519294208882,133,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,133,0,0
1519294209016,130,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,130,0,0
1519294209147,119,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,119,0,0
1519294209267,125,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,125,0,0
1519294207955,1377,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1180,70,366
1519294209403,1355,436 /,200,OK,Thread Group 1-1,text,true,,74618,294,1,1,986,0,56
1519294209403,1355,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74618,294,1,1,986,10,56
1519294210770,271,511 /,200,OK,Thread Group 1-1,text,true,,14246,413,1,1,119,0,50
1519294210768,271,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,413,1,1,119,2,50
1519294211042,216,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,77,0,30
1519294211259,189,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,189,0,51
1519294211449,199,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,199,0,55
1519294211649,158,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,158,0,0
1519294211808,140,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,140,0,0
1519294211949,146,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,146,0,0
1519294212096,151,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,151,0,0
1519294211042,1199,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1060,8,136
