timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519293830818,453,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,324,0,251
1519293831274,275,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,275,0,141
1519293831551,277,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,277,0,151
1519293831830,135,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,135,0,0
1519293831966,128,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,128,0,0
1519293832095,141,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,141,0,0
1519293832238,126,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,126,0,0
1519293830712,1535,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1406,117,543
1519293832366,1413,436 /,200,OK,Thread Group 1-1,text,true,,74618,294,1,1,1090,0,151
1519293832365,1413,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74618,294,1,1,1090,9,151
1519293833788,212,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,72,0,31
1519293834002,155,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,155,0,32
1519293834158,194,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,194,0,55
1519293834353,130,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,129,0,0
1519293834485,138,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,138,0,0
1519293834625,136,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,136,0,0
1519293834762,125,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,125,0,0
1519293833788,1090,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,949,10,118
1519293834890,1134,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,818,0,54
1519293834888,1134,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,818,3,54
1519293836027,219,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,77,0,33
1519293836248,164,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,164,0,33
1519293836413,141,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,141,0,29
1519293836555,110,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,110,0,0
1519293836667,103,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,103,0,0
1519293836771,116,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,116,0,0
1519293836888,128,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,128,0,0
1519293836027,981,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,839,8,95
1519293837017,1071,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,738,0,53
1519293837017,1071,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,738,0,53
1519293838089,228,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,84,0,35
1519293838318,139,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,139,0,28
1519293838458,150,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,150,0,37
1519293838610,118,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,118,0,0
1519293838729,112,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,111,0,0
1519293838842,131,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,131,0,0
1519293838974,111,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,111,0,0
1519293838089,989,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,844,8,100
1519293839087,1062,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,740,0,51
1519293839086,1062,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,740,5,51
1519293840154,217,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,78,0,31
1519293840372,152,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,152,0,40
1519293840525,182,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,182,0,47
1519293840708,132,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,132,0,0
1519293840842,147,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,147,0,0
1519293840990,140,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,140,0,0
1519293841132,113,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,113,0,0
1519293840153,1083,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,944,10,118
1519293841247,284,436 /,200,OK,Thread Group 1-1,text,true,,14245,387,1,1,123,0,53
1519293841246,284,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14245,387,1,1,123,1,53
1519293841532,237,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,109,0,0
1519293841770,116,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,116,0,0
1519293841887,133,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,133,0,0
1519293842021,135,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,135,0,0
1519293842157,130,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,130,0,0
1519293842288,145,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,145,0,0
1519293842434,210,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,210,0,55
1519293841532,1106,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,978,6,55
1519293842645,21540,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,977,0,50
1519293842644,21540,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,977,1,50
1519293864185,226,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,76,0,36
1519293864412,162,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,162,0,35
1519293864575,294,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,294,0,148
1519293864869,138,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,138,0,0
1519293865009,142,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,142,0,0
1519293865152,139,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,139,0,0
1519293865292,118,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,118,0,0
1519293864185,1219,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1069,6,219
1519293865411,289,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,124,0,52
1519293865410,289,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,124,1,52
1519293865702,173,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,36,0,0
1519293865877,114,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,114,0,0
1519293865992,162,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,162,0,0
1519293866155,150,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,150,0,0
1519293866306,133,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,133,0,0
1519293866440,134,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,134,0,0
1519293866575,173,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,173,0,39
1519293865701,1039,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,902,9,39
1519293866750,1776,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,981,0,53
1519293866749,1776,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,981,2,53
1519293868528,217,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,71,0,29
1519293868746,147,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,147,0,29
1519293868894,182,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,182,0,47
1519293869077,134,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,134,0,0
1519293869212,133,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,133,0,0
1519293869346,137,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,137,0,0
1519293869485,116,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,116,0,0
1519293868528,1066,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,920,8,105
1519293869603,290,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,124,0,52
1519293869602,290,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,124,2,52
1519293869894,165,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,38,0,0
1519293870062,128,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,128,0,0
1519293870191,124,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,124,0,0
1519293870316,138,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,138,0,0
1519293870455,134,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,134,0,0
1519293870589,133,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,133,0,0
1519293870723,123,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,122,0,0
1519293869894,945,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,817,7,0
1519293870847,1475,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,904,0,51
1519293870846,1475,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,904,2,51
1519293872323,215,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,71,0,30
1519293872539,170,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,170,0,37
1519293872710,163,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,163,0,36
1519293872875,111,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,111,0,0
1519293872987,126,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,125,0,0
1519293873113,120,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,120,0,0
1519293873234,112,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,112,0,0
1519293872323,1017,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,872,6,103
1519293873347,479,436 /,200,OK,Thread Group 1-1,text,true,,14245,387,1,1,311,0,238
1519293873346,479,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14245,387,1,1,311,1,238
1519293873827,174,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,45,0,0
1519293874002,135,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,135,0,0
1519293874138,119,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,119,0,0
1519293874258,128,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,128,0,0
1519293874386,132,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,132,0,0
1519293874518,127,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,127,0,0
1519293874646,184,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,184,0,48
1519293873827,999,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,870,4,48
1519293874830,1368,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,808,0,51
1519293874830,1368,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,808,1,51
1519293876201,222,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,75,0,34
1519293876425,133,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,133,0,0
1519293876559,192,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,192,0,52
1519293876752,146,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,145,0,0
1519293876899,145,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,145,0,0
1519293877046,139,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,139,0,0
1519293877186,184,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,184,0,47
1519293876200,1161,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1013,10,133
1519293877372,1597,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,621,0,51
1519293877371,1597,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,621,1,51
1519293878971,305,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,132,0,62
1519293879278,149,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,149,0,34
1519293879428,145,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,144,0,30
1519293879574,105,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,105,0,0
1519293879680,107,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,107,0,0
1519293879788,107,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,107,0,0
1519293879896,120,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,120,0,0
1519293878970,1038,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,864,9,126
1519293880018,278,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,124,0,53
1519293880017,278,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,124,1,53
1519293880298,233,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,66,0,0
1519293880532,134,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,134,0,0
1519293880667,110,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,109,0,0
1519293880777,116,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,116,0,0
1519293880894,104,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,104,0,0
1519293880999,107,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,106,0,0
1519293881107,108,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,108,0,0
1519293880297,912,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,743,7,0
1519293881216,5892,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,757,0,53
1519293881216,5892,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,757,0,53
1519293887109,292,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,127,0,57
1519293887402,139,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,139,0,28
1519293887542,596,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,595,0,52
1519293888139,137,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,136,0,0
