uri;count;total;min;average;max;standarddeviation;persecond;errors
"GetProjectTimelineSummary";1;5484;5484;5484;5484;0;0;0
"GetBlockList";1;1307;1307;1307;1307;0;0;0
"GetProjectAddresses";1;1369;1369;1369;1369;0;0;0
"ChangeAdmin";1;1189;1189;1189;1189;0;0;0
"GetProjectTeamInfo";1;1221;1221;1221;1221;0;0;0
"GetProjectClarificationList";1;8554;8554;8554;8554;0;0;0
"GetCirList";1;1997;1997;1997;1997;0;0;0
"AddProjectTeamMember";1;1163;1163;1163;1163;0;0;0
"CreateCir";1;2813;2813;2813;2813;0;0;0
"GetPrototypeList";1;1284;1284;1284;1284;0;0;0
"GetUserBpNumber";1;1198;1198;1198;1198;0;0;0
"GetUserDetails";1;1247;1247;1247;1247;0;0;0
"GetCampusProjectList";1;1327;1327;1327;1327;0;0;0
"GetUserRole";1;1164;1164;1164;1164;0;0;0
"GetProjectsForPrototypeOrBlock";1;1389;1389;1389;1389;0;0;0
"GetCampusList";1;1272;1272;1272;1272;0;0;0
"ChangeProjectTimeline";1;8341;8341;8341;8341;0;0;0
"GetPortfolioList";1;1260;1260;1260;1260;0;0;0
"RemoveProjectTeamMember";1;1152;1152;1152;1152;0;0;0
"GetMasterList";1;1349;1349;1349;1349;0;0;0
"ReplyProjectClarification";1;10620;10620;10620;10620;0;0;0
"GetProjectCertificationDetails";1;1368;1368;1368;1368;0;0;0
"Project Payment";1;1806;1806;1806;1806;0;0;0
"ChangeProjectTeam ";1;1415;1415;1415;1415;0;0;0
"GetProjectListBySel";1;5583;5583;5583;5583;0;0;0
"UpdateProject";1;1112;1112;1112;1112;0;0;0
"GetClarificationDetail";1;1361;1361;1361;1361;0;0;0
"GetAliasDetails";1;297;297;297;297;0;0;0
"GetProjectDetails";1;1444;1444;1444;1444;0;0;0
